Namespace(modes=6, res1d=12, width=64, seed=3)
torch.Size([1200, 4325, 1]) torch.Size([1200, 4325, 1]) torch.Size([1200, 4325, 3]) torch.Size([1200, 4325, 3])
17717249 29027
0 4.828313443809748 3.4628927688598634 1.1811522674560546
1 3.420763136819005 0.8086829833984375 0.5016775512695313
2 3.4194820057600737 0.4098727035522461 0.39346616744995117
3 3.4198033083230257 0.26998560333251953 0.24898305892944336
4 3.41517423838377 0.1793346004486084 0.11916606426239014
5 3.417566454038024 0.14738606357574463 0.07077794790267944
6 3.4188511222600937 0.10135861396789551 0.1463354206085205
7 3.419848231598735 0.10838335609436035 0.24339568138122558
8 3.416304688900709 0.19314705467224122 0.14799916744232178
9 3.419421808794141 0.16621954917907714 0.141889967918396
10 3.4167645927518606 0.09541464376449585 0.05728482007980347
11 3.4195746034383774 0.06529374361038208 0.07978183031082153
12 3.416917437687516 0.06730815267562866 0.04566694259643555
13 3.4170100428164005 0.06829790115356445 0.09316554069519042
14 3.414680292829871 0.07666257858276367 0.0767662525177002
15 3.417685890570283 0.06716093206405639 0.048313910961151126
16 3.4160066395998 0.05869194030761719 0.05852421760559082
17 3.415019229054451 0.051841325759887695 0.036593661308288575
18 3.415333177894354 0.05526417922973633 0.04432774543762207
19 3.4164841882884502 0.04807315826416016 0.06918688297271729
20 3.4163357075303793 0.05522663593292236 0.036179637908935545
21 3.4168541114777327 0.048477543354034425 0.061441349983215335
22 3.416224179789424 0.05195170879364014 0.04483043432235718
23 3.41792656108737 0.042574241638183595 0.05032967805862427
24 3.416577711701393 0.05777349400520325 0.07500486135482788
25 3.417595451697707 0.06377608299255372 0.07016625165939332
26 3.415746781975031 0.054512696027755735 0.039386353492736816
27 3.417310005053878 0.04627107071876526 0.03635139465332031
28 3.4157387781888247 0.06678530907630921 0.11441387176513672
29 3.4157089833170176 0.08496520376205444 0.05363986492156982
30 3.4151271115988493 0.051940977096557615 0.03719829320907593
31 3.415291018784046 0.04000785708427429 0.03953566789627075
32 3.414258262142539 0.04847625494003296 0.050437393188476565
33 3.417088609188795 0.04978408145904541 0.07359884738922119
34 3.4168533589690924 0.04959994316101074 0.03697376608848572
35 3.4155084267258644 0.037705445051193234 0.026990774869918823
36 3.415339069440961 0.04514597201347351 0.0309409236907959
37 3.4150067549198866 0.06638989067077637 0.05614269018173218
38 3.415636958554387 0.04317220854759216 0.03424450993537903
39 3.4146998804062605 0.04296521282196045 0.05046501636505127
40 3.4187463484704494 0.04132721781730652 0.050651688575744626
41 3.417089903727174 0.03794144511222839 0.04594334840774536
42 3.4150979574769735 0.03650600051879883 0.022583125829696654
43 3.414095737040043 0.0401489155292511 0.030588197708129882
44 3.416729185730219 0.03798538541793823 0.02980746269226074
45 3.414979664608836 0.03630765676498413 0.029473694562911986
46 3.416926957666874 0.045389061212539675 0.04940503120422363
47 3.413840578868985 0.03826495814323425 0.030563828945159913
48 3.416503733024001 0.03154526197910309 0.03568624258041382
49 3.4147894494235516 0.03208871078491211 0.03975081205368042
50 3.416463827714324 0.0366994035243988 0.051048083305358885
51 3.4167056921869516 0.03502754735946655 0.03349287033081055
52 3.4153424464166164 0.027623598337173462 0.05332485914230347
53 3.4167019855231047 0.03824600052833557 0.024571034908294678
54 3.4142713472247124 0.028530279874801636 0.02884673237800598
55 3.4137214347720146 0.05929451894760132 0.12031899929046631
56 3.4130764938890934 0.09673997020721435 0.06161134243011475
57 3.413629785180092 0.0616068172454834 0.04277533292770386
58 3.417225396260619 0.05428889799118042 0.0611327600479126
59 3.413920259103179 0.053338839292526245 0.03981973886489868
60 3.41475448384881 0.04548129320144653 0.036362756490707394
61 3.4154502376914024 0.05232467222213745 0.04149806499481201
